ID,s_rank
62124,378
62520,378
66469,378
70235,378
81028,378
82868,378
847,378
84702,378
86674,378
90814,378
91063,378
91091,378
94697,378
98359,378
26695,402
28994,402
40189,402
78782,402
79589,402
84808,402
89132,402
90124,402
97868,402
99764,402
17996,412
25187,412
34018,412
39254,412
39612,412
54612,412
55000,412
74530,412
82126,412
82580,412
94846,412
18752,423
31554,423
4182,423
48611,423
4940,423
50206,423
61783,423
63310,423
64249,423
67017,423
6710,423
68453,423
77415,423
78792,423
792,423
80821,423
81258,423
81785,423
88801,423
97679,423
22198,443
22618,443
23439,443
30650,443
40558,443
44352,443
45436,443
52057,443
53788,443
58634,443
75046,443
80057,443
86075,443
86641,443
86806,443
89312,443
90372,443
91851,443
94730,443
97629,443
98423,443
11377,464
22396,464
38271,464
53588,464
54460,464
57538,464
58081,464
58326,464
58595,464
60040,464
61081,464
760,464
79352,464
8347,464
8517,464
91616,464
94620,464
95046,464
99780,464
2139,483
2201,483
35881,483
36513,483
4449,483
45570,483
51203,483
51723,483
64138,483
69241,483
75040,483
76604,483
81150,483
83002,483
85809,483
93708,483
9460,483
95225,483
99730,483
13880,502
18821,502
24197,502
27140,502
34386,502
36265,502
38121,502
42114,502
52187,502
53089,502
56212,502
59673,502
65987,502
66293,502
7732,502
81550,502
827,502
92659,502
12078,520
12711,520
1285,520
17924,520
21086,520
23110,520
25380,520
28538,520
3576,520
38668,520
45770,520
14554,531
19848,531
30017,531
57666,531
65241,531
73394,531
75547,531
81884,531
91580,531
91799,531
99399,531
13217,542
18367,542
22467,542
25780,542
27528,542
288,542
33817,542
42960,542
50966,542
5463,542
64297,542
66763,542
73807,542
83557,542
83686,542
8843,542
90609,542
96003,542
1080,560
12216,560
16035,560
17057,560
1726,560
23449,560
28738,560
29665,560
31364,560
40932,560
41741,560
43348,560
47824,560
68720,560
83696,560
86651,560
86736,560
89140,560
96895,560
40178,579
40992,579
41938,579
49813,579
50977,579
65676,579
67583,579
70389,579
72501,579
73606,579
75534,579
77234,579
78756,579
80285,579
85680,579
87439,579
90194,579
99977,579
11530,597
16467,597
17911,597
19536,597
21401,597
31035,597
33791,597
37856,597
39892,597
39978,597
46066,597
51093,597
53225,597
72358,597
75123,597
82591,597
83871,597
88525,597
92417,597
10838,616
44985,616
54296,616
58606,616
66279,616
67222,616
70807,616
85981,616
87054,616
88577,616
91442,616
13504,627
14023,627
17086,627
18007,627
29849,627
30021,627
32065,627
39238,627
48471,627
53165,627
61414,627
78552,627
87015,627
91569,627
9933,627
13028,642
18775,642
1884,642
35293,642
39619,642
41827,642
41894,642
49280,642
51579,642
53803,642
57456,642
71768,642
71904,642
19203,655
29462,655
31080,655
38548,655
40738,655
45680,655
61003,655
70828,655
89106,655
89571,655
898,655
93354,655
96227,655
11152,668
16250,668
35198,668
36926,668
41965,668
42388,668
43658,668
43981,668
51549,668
53077,668
64082,668
71631,668
80742,668
83511,668
85614,668
87044,668
9084,668
96203,668
96741,668
123,687
29435,687
32506,687
34422,687
35138,687
56143,687
57780,687
59848,687
61737,687
62705,687
64192,687
66054,687
70099,687
70688,687
74974,687
78911,687
86833,687
96246,687
13506,705
1836,705
29031,705
31079,705
35721,705
39881,705
46769,705
49873,705
52076,705
55531,705
6474,705
68070,705
70362,705
91992,705
98843,705
99348,705
36791,721
39394,721
43032,721
6673,721
79502,721
84495,721
9408,721
96178,721
96324,721
13290,730
16543,730
21692,730
23311,730
25256,730
25718,730
27366,730
41280,730
43226,730
46337,730
46450,730
4860,730
49450,730
50743,730
5243,730
53451,730
54875,730
60249,730
68248,730
68278,730
7204,730
76759,730
99422,730
13403,753
16993,753
18675,753
25077,753
27556,753
39901,753
49205,753
56139,753
56499,753
63560,753
66495,753
7498,753
75299,753
87268,753
97658,753
1018,768
13408,768
15980,768
17128,768
19861,768
23224,768
27898,768
29192,768
51698,768
544,768
56,768
57160,768
59517,768
63489,768
76246,768
83573,768
842,768
84792,768
84845,768
85602,768
86753,768
87624,768
90004,768
92442,768
94766,768
94998,768
95099,768
98056,768
108,796
13826,796
26080,796
30252,796
34236,796
39657,796
42560,796
48247,796
48423,796
69850,796
87706,796
89000,796
99289,796
10556,809
36995,809
44998,809
45359,809
5961,809
64820,809
75241,809
75423,809
80610,809
84039,809
99451,809
16453,820
22268,820
24932,820
35498,820
37101,820
41450,820
45817,820
463,820
51768,820
52385,820
55915,820
57511,820
62152,820
64893,820
65038,820
65443,820
73411,820
86552,820
89234,820
98940,820
19220,840
22325,840
32881,840
34170,840
43016,840
43432,840
47630,840
48660,840
65190,840
82687,840
88793,840
888,840
89188,840
95697,840
95953,840
97435,840
11126,856
12941,856
22345,856
29705,856
29803,856
50013,856
58465,856
58889,856
65056,856
69732,856
72528,856
74464,856
74509,856
78332,856
79892,856
10269,871
17192,871
17424,871
17831,871
22254,871
23994,871
26473,871
27430,871
27804,871
29871,871
32056,871
3739,871
44206,871
44836,871
55238,871
56299,871
65396,871
66484,871
79697,871
99760,871
15086,891
18583,891
21766,891
27950,891
34322,891
37284,891
40481,891
49073,891
55857,891
6209,891
62549,891
66969,891
8022,891
80248,891
93491,891
98019,891
98563,891
1087,908
14182,908
28977,908
3005,908
3127,908
3335,908
3639,908
48589,908
52707,908
55286,908
57190,908
61166,908
65101,908
67021,908
85910,908
92693,908
93986,908
94814,908
15698,926
30289,926
31486,926
39552,926
43989,926
47025,926
47487,926
68396,926
11194,934
21552,934
30182,934
34957,934
46762,934
50467,934
63612,934
75938,934
7602,934
82697,934
84410,934
93631,934
16969,946
23373,946
2501,946
38895,946
45826,946
53485,946
56078,946
57334,946
5871,946
67051,946
67371,946
73387,946
80941,946
85451,946
89297,946
96085,946
99271,946
99719,946
11966,964
1367,964
33094,964
43123,964
60688,964
63039,964
63502,964
68263,964
71387,964
80420,964
85234,964
8853,964
92867,964
93061,964
13753,978
23500,978
25331,978
26730,978
29707,978
37339,978
37581,978
37734,978
41671,978
46106,978
62487,978
63243,978
68096,978
78454,978
81566,978
82063,978
85356,978
9495,978
97042,978
16753,997
17377,997
44816,997
45300,997
46155,997
55698,997
66259,997
73268,997
8426,997
87280,997
87651,997
96153,997
9659,997
11419,1010
12563,1010
13211,1010
20985,1010
24630,1010
25785,1010
28409,1010
37818,1010
41091,1010
50719,1010
50944,1010
53547,1010
57135,1010
58846,1010
6367,1010
70965,1010
76911,1010
89734,1010
92040,1010
15070,1029
18709,1029
2286,1029
24010,1029
30943,1029
33338,1029
35257,1029
390,1029
39514,1029
4645,1029
62784,1029
65688,1029
70299,1029
78116,1029
89051,1029
98315,1029
28352,1045
32368,1045
37449,1045
37653,1045
39241,1045
39310,1045
4034,1045
57213,1045
58469,1045
59530,1045
67660,1045
73213,1045
77172,1045
7973,1045
83836,1045
8603,1045
87784,1045
88302,1045
22912,1063
31442,1063
4248,1063
47001,1063
50702,1063
51084,1063
58307,1063
62795,1063
63040,1063
65329,1063
67560,1063
70359,1063
76799,1063
76895,1063
10736,1077
11195,1077
14484,1077
17665,1077
29920,1077
36384,1077
39472,1077
39927,1077
56755,1077
61402,1077
66494,1077
67024,1077
89059,1077
90082,1077
97400,1077
1827,1092
19791,1092
28316,1092
30896,1092
33201,1092
336,1092
38902,1092
42298,1092
46442,1092
53728,1092
70098,1092
7020,1092
71543,1092
72165,1092
83136,1092
88287,1092
9605,1092
98619,1092
10033,1110
12173,1110
2133,1110
21556,1110
42956,1110
49618,1110
50038,1110
5017,1110
5617,1110
57787,1110
58919,1110
62373,1110
6712,1110
68554,1110
71389,1110
71628,1110
73908,1110
76953,1110
97355,1110
97573,1110
10663,1130
16885,1130
16907,1130
23934,1130
34331,1130
36052,1130
44881,1130
4682,1130
61920,1130
67033,1130
69081,1130
71287,1130
77364,1130
84654,1130
17339,1144
19050,1144
20540,1144
23992,1144
26619,1144
30341,1144
32886,1144
35220,1144
35687,1144
36263,1144
40897,1144
44584,1144
46980,1144
48776,1144
56598,1144
57925,1144
60748,1144
645,1144
71944,1144
82083,1144
83398,1144
17207,1165
25046,1165
31761,1165
48165,1165
48901,1165
49611,1165
52872,1165
65299,1165
69758,1165
72014,1165
76250,1165
77289,1165
78787,1165
83622,1165
91132,1165
99369,1165
10814,1181
23344,1181
2970,1181
29959,1181
32130,1181
38973,1181
46074,1181
47126,1181
50658,1181
59046,1181
65121,1181
67436,1181
76768,1181
7970,1181
81031,1181
85849,1181
91788,1181
93171,1181
13365,1199
1460,1199
22417,1199
30474,1199
3143,1199
3163,1199
38555,1199
46260,1199
47670,1199
5144,1199
66813,1199
69853,1199
83462,1199
84704,1199
89759,1199
993,1199
99754,1199
10917,1216
20002,1216
32772,1216
42688,1216
47627,1216
48861,1216
60224,1216
62754,1216
72622,1216
75173,1216
89104,1216
92849,1216
92864,1216
13352,1229
27956,1229
28133,1229
33546,1229
35362,1229
37715,1229
3833,1229
42019,1229
66090,1229
75878,1229
8140,1229
8483,1229
86707,1229
96206,1229
97101,1229
21246,1244
46436,1244
499,1244
50267,1244
50598,1244
52157,1244
7043,1244
75928,1244
11095,1252
12214,1252
21100,1252
27952,1252
31820,1252
36657,1252
4004,1252
41596,1252
51416,1252
51817,1252
67425,1252
77218,1252
83747,1252
88553,1252
88993,1252
96710,1252
12326,1268
15083,1268
24325,1268
36244,1268
38371,1268
49684,1268
52741,1268
52876,1268
54605,1268
54728,1268
70061,1268
72768,1268
8957,1268
99226,1268
163,1282
1727,1282
2419,1282
25468,1282
29390,1282
31516,1282
37350,1282
49244,1282
50414,1282
51678,1282
51997,1282
5250,1282
62749,1282
65400,1282
66281,1282
68649,1282
72643,1282
78858,1282
86344,1282
98047,1282
10705,1302
16515,1302
17507,1302
1922,1302
22003,1302
23457,1302
32419,1302
33460,1302
34404,1302
38676,1302
43211,1302
56232,1302
60984,1302
61232,1302
72521,1302
73072,1302
75772,1302
81984,1302
82970,1302
95852,1302
97023,1302
12971,1323
14628,1323
17600,1323
1812,1323
26028,1323
3039,1323
36126,1323
42092,1323
43854,1323
5208,1323
68779,1323
80227,1323
8251,1323
8378,1323
86802,1323
92464,1323
93125,1323
94178,1323
94726,1323
18941,1342
20099,1342
21337,1342
36303,1342
41674,1342
49214,1342
53047,1342
57123,1342
63538,1342
67018,1342
67655,1342
77580,1342
81896,1342
89246,1342
90353,1342
14094,1357
16075,1357
17769,1357
27044,1357
37219,1357
57985,1357
65208,1357
67793,1357
70384,1357
77548,1357
85754,1357
94142,1357
95027,1357
9953,1357
15030,1371
16297,1371
20180,1371
21008,1371
33759,1371
45083,1371
50703,1371
54672,1371
557,1371
57026,1371
58701,1371
61403,1371
66356,1371
9183,1371
16133,1385
17676,1385
21395,1385
23392,1385
39520,1385
42556,1385
53469,1385
66269,1385
68010,1385
72959,1385
76798,1385
78892,1385
82918,1385
83170,1385
98870,1385
98984,1385
1220,1401
17076,1401
20814,1401
30858,1401
35462,1401
46035,1401
58355,1401
64401,1401
64550,1401
77003,1401
78637,1401
91343,1401
93043,1401
95175,1401
95631,1401
15613,1416
2178,1416
22170,1416
30177,1416
3640,1416
36494,1416
49982,1416
52203,1416
54508,1416
63390,1416
69471,1416
78581,1416
94522,1416
98690,1416
12615,1430
22179,1430
25528,1430
32744,1430
41599,1430
45650,1430
57377,1430
69632,1430
83314,1430
94311,1430
9993,1430
1000,1441
10481,1441
11604,1441
15340,1441
15430,1441
34569,1441
38336,1441
52291,1441
53699,1441
56003,1441
62226,1441
63449,1441
64642,1441
6729,1441
7490,1441
21126,1456
21774,1456
28019,1456
29399,1456
30299,1456
30957,1456
32345,1456
35042,1456
37809,1456
49792,1456
64934,1456
67340,1456
71426,1456
75273,1456
77231,1456
79469,1456
83728,1456
90914,1456
9947,1456
11510,1475
11578,1475
19450,1475
30334,1475
33837,1475
38691,1475
40276,1475
65703,1475
65715,1475
77244,1475
82039,1475
89196,1475
11441,1487
15074,1487
31137,1487
48009,1487
57107,1487
63361,1487
64724,1487
69285,1487
73206,1487
73328,1487
9360,1487
98726,1487
19342,1499
34788,1499
37430,1499
67725,1499
74639,1499
77148,1499
81245,1499
83214,1499
86934,1499
99189,1499
11422,1509
13495,1509
14874,1509
282,1509
32369,1509
35357,1509
43912,1509
69747,1509
76224,1509
80976,1509
89414,1509
92332,1509
92385,1509
96722,1509
16311,1523
48640,1523
49701,1523
50873,1523
56124,1523
57238,1523
62716,1523
64155,1523
72485,1523
82688,1523
83592,1523
83691,1523
8807,1523
95366,1523
95859,1523
98120,1523
98388,1523
14284,1540
15578,1540
31341,1540
34329,1540
36881,1540
39925,1540
4015,1540
41261,1540
41675,1540
435,1540
6287,1540
914,1540
95626,1540
17397,1553
27687,1553
31250,1553
35588,1553
35685,1553
39704,1553
44304,1553
46970,1553
53490,1553
55940,1553
58935,1553
61065,1553
86327,1553
90234,1553
28952,1567
36845,1567
38899,1567
52866,1567
53805,1567
5381,1567
5925,1567
61127,1567
68712,1567
72177,1567
7390,1567
76291,1567
81638,1567
83003,1567
1533,1581
15517,1581
1954,1581
19766,1581
24387,1581
29002,1581
31337,1581
38013,1581
38712,1581
70522,1581
80698,1581
88358,1581
92703,1581
93366,1581
26494,1595
44258,1595
53172,1595
58085,1595
5898,1595
5943,1595
79170,1595
90089,1595
95201,1595
10727,1604
15726,1604
26802,1604
3693,1604
39204,1604
42565,1604
53496,1604
54620,1604
56849,1604
58413,1604
64169,1604
7123,1604
71878,1604
86001,1604
86127,1604
94894,1604
14639,1620
18469,1620
37759,1620
69581,1620
77729,1620
78434,1620
83953,1620
8457,1620
92965,1620
94801,1620
29260,1630
34542,1630
40303,1630
52494,1630
53185,1630
5399,1630
54153,1630
57185,1630
66008,1630
67514,1630
69132,1630
6990,1630
81789,1630
87193,1630
95284,1630
97228,1630
15883,1646
16528,1646
41406,1646
56882,1646
57941,1646
69752,1646
74672,1646
7656,1646
79446,1646
80047,1646
90779,1646
99711,1646
1110,1658
13749,1658
18636,1658
22086,1658
24809,1658
25942,1658
30161,1658
40116,1658
41299,1658
5703,1658
64222,1658
7035,1658
70918,1658
73492,1658
78481,1658
90181,1658
19862,1674
22142,1674
29091,1674
31266,1674
33401,1674
5336,1674
55170,1674
57962,1674
61998,1674
65979,1674
69225,1674
72741,1674
74473,1674
86529,1674
97041,1674
97065,1674
99611,1674
10904,1691
18499,1691
18554,1691
18859,1691
27662,1691
4173,1691
67310,1691
86661,1691
89393,1691
93039,1691
14668,1701
16631,1701
18809,1701
22057,1701
2561,1701
28518,1701
34392,1701
41683,1701
50537,1701
6195,1701
63645,1701
78572,1701
78922,1701
84167,1701
84239,1701
84865,1701
85308,1701
107,1718
18234,1718
30845,1718
35905,1718
37103,1718
37586,1718
48462,1718
51238,1718
59172,1718
62832,1718
63288,1718
65714,1718
667,1718
67293,1718
73165,1718
75395,1718
75596,1718
85534,1718
88308,1718
93814,1718
96193,1718
99463,1718
11455,1740
22620,1740
24796,1740
30772,1740
39114,1740
42843,1740
46441,1740
46725,1740
53152,1740
55009,1740
66106,1740
69222,1740
70452,1740
85226,1740
85445,1740
14621,1755
24201,1755
28004,1755
41345,1755
56941,1755
64914,1755
65681,1755
66753,1755
69960,1755
80247,1755
87965,1755
95029,1755
97590,1755
14563,1768
18740,1768
23475,1768
2967,1768
33107,1768
3493,1768
40059,1768
59920,1768
70021,1768
76743,1768
80912,1768
94173,1768
13511,1780
2177,1780
35523,1780
41491,1780
41890,1780
43616,1780
49391,1780
5005,1780
55329,1780
67542,1780
69307,1780
74016,1780
85575,1780
85887,1780
87246,1780
96052,1780
97694,1780
15487,1797
24002,1797
32217,1797
34126,1797
3651,1797
39876,1797
48850,1797
52523,1797
55859,1797
77361,1797
78314,1797
78469,1797
79210,1797
88884,1797
8912,1797
93508,1797
99250,1797
20084,1814
23794,1814
31560,1814
41751,1814
52945,1814
62054,1814
64731,1814
65438,1814
68330,1814
70564,1814
75362,1814
8252,1814
8860,1814
90009,1814
94836,1814
95850,1814
96911,1814
98830,1814
1402,1832
25068,1832
32119,1832
32245,1832
41988,1832
52750,1832
53799,1832
63886,1832
65753,1832
69730,1832
71529,1832
75513,1832
78143,1832
82082,1832
88472,1832
92274,1832
94257,1832
24442,1849
25143,1849
27017,1849
44038,1849
4435,1849
5843,1849
58594,1849
7514,1849
75791,1849
79534,1849
82066,1849
90132,1849
12069,1861
15024,1861
24116,1861
42096,1861
5298,1861
53424,1861
61527,1861
71085,1861
77898,1861
80113,1861
83022,1861
87048,1861
18338,1873
19735,1873
37521,1873
41818,1873
50331,1873
52134,1873
75794,1873
83480,1873
91370,1873
9440,1873
96615,1873
1826,1884
22260,1884
2795,1884
32376,1884
34502,1884
36685,1884
51538,1884
52120,1884
58300,1884
61332,1884
61364,1884
64067,1884
64593,1884
68516,1884
73542,1884
88085,1884
14065,1900
19582,1900
19824,1900
20195,1900
31476,1900
41774,1900
60267,1900
69679,1900
70572,1900
72055,1900
78758,1900
81396,1900
28252,1912
31993,1912
3487,1912
40080,1912
46956,1912
52656,1912
61356,1912
64196,1912
64945,1912
78767,1912
94815,1912
99073,1912
99553,1912
10267,1925
11237,1925
12979,1925
16405,1925
16480,1925
16593,1925
17944,1925
27002,1925
32464,1925
44703,1925
54610,1925
60867,1925
82402,1925
85746,1925
88389,1925
98140,1925
19245,1941
1968,1941
20445,1941
24746,1941
2629,1941
35175,1941
5393,1941
59539,1941
62636,1941
6895,1941
79772,1941
85063,1941
13757,1953
20378,1953
22258,1953
33882,1953
35935,1953
65258,1953
68150,1953
73186,1953
86981,1953
14432,1962
16347,1962
20489,1962
30110,1962
33651,1962
39115,1962
41832,1962
57431,1962
76057,1962
79487,1962
83838,1962
15249,1973
19541,1973
6523,1973
77130,1973
858,1973
86404,1973
8819,1973
88417,1973
11201,1981
14032,1981
15283,1981
39157,1981
42625,1981
4582,1981
48053,1981
57055,1981
59908,1981
63289,1981
70924,1981
75252,1981
81175,1981
81610,1981
82646,1981
82707,1981
83204,1981
92776,1981
93571,1981
987,1981
